                Insertion (ms)         Search (ms)          Height
# of Nodes       BST       AVL       BST       AVL     BST     AVL
      1000         0        24         0         0      18      10
     10000         2      2455         1         1      29      14
     20000         5      9005         3         3      33      15
     30000         8     21605        10         5      31      16
     40000        11     40499        10         9      38      17
     50000        20     62937        11        10      35      17
     60000        24     91754        15        12      35      17
     70000        23    129724        18        15      38      17
     80000        38    162883        21        22      36      18
     90000        44    210825        23        20      38      18
    100000        40    266552        32        28      36      18
