, Prepend, , Gets, , Search, , Remove, , Append, 
Size, Vector, List, Vector, List, Vector, List, Vector, List, Vector, List, 
5000 ,2 ,1 ,0 ,5 ,34 ,48 ,1 ,0 ,0 ,0 ,
10000 ,7 ,2 ,0 ,11 ,54 ,72 ,6 ,1 ,0 ,1 ,
15000 ,16 ,2 ,0 ,15 ,95 ,133 ,17 ,1 ,0 ,1 ,
20000 ,29 ,3 ,0 ,28 ,104 ,143 ,28 ,1 ,0 ,4 ,
25000 ,57 ,6 ,0 ,40 ,184 ,174 ,53 ,2 ,0 ,5 ,
30000 ,88 ,6 ,0 ,32 ,186 ,230 ,63 ,4 ,0 ,4 ,
35000 ,102 ,4 ,0 ,35 ,186 ,260 ,88 ,3 ,0 ,3 ,
40000 ,119 ,5 ,0 ,51 ,212 ,372 ,115 ,3 ,0 ,6 ,
45000 ,175 ,5 ,0 ,52 ,245 ,357 ,168 ,6 ,0 ,5 ,
50000 ,201 ,6 ,0 ,51 ,257 ,400 ,185 ,4 ,1 ,5 ,
55000 ,246 ,6 ,0 ,54 ,257 ,412 ,216 ,5 ,2 ,10 ,
60000 ,268 ,8 ,0 ,67 ,297 ,425 ,249 ,5 ,2 ,9 ,
65000 ,319 ,10 ,0 ,66 ,312 ,475 ,295 ,5 ,1 ,6 ,
70000 ,397 ,8 ,0 ,76 ,359 ,502 ,364 ,7 ,2 ,10 ,
75000 ,423 ,9 ,0 ,87 ,369 ,552 ,418 ,6 ,1 ,7 ,
80000 ,507 ,10 ,0 ,78 ,428 ,616 ,497 ,9 ,1 ,13 ,
85000 ,573 ,10 ,0 ,91 ,422 ,605 ,552 ,12 ,1 ,9 ,
90000 ,675 ,11 ,0 ,96 ,462 ,641 ,642 ,8 ,1 ,9 ,
95000 ,699 ,12 ,0 ,111 ,450 ,657 ,703 ,14 ,3 ,11 ,
100000 ,815 ,12 ,0 ,95 ,475 ,822 ,829 ,10 ,2 ,18 ,
105000 ,888 ,13 ,0 ,108 ,548 ,726 ,903 ,9 ,1 ,11 ,
110000 ,1017 ,19 ,0 ,128 ,546 ,754 ,971 ,10 ,2 ,12 ,
115000 ,1098 ,14 ,0 ,124 ,594 ,826 ,1086 ,15 ,2 ,12 ,
120000 ,1173 ,15 ,0 ,113 ,570 ,854 ,1176 ,12 ,2 ,16 ,
125000 ,1291 ,15 ,0 ,144 ,587 ,843 ,1304 ,17 ,2 ,13 ,
130000 ,1415 ,16 ,0 ,138 ,657 ,944 ,1452 ,15 ,3 ,14 ,
135000 ,1544 ,24 ,0 ,159 ,661 ,959 ,1527 ,13 ,2 ,16 ,
140000 ,1635 ,22 ,0 ,156 ,706 ,965 ,1751 ,13 ,2 ,16 ,
145000 ,1898 ,22 ,0 ,149 ,697 ,1083 ,1876 ,17 ,3 ,16 ,
150000 ,1952 ,20 ,0 ,154 ,882 ,1110 ,1984 ,14 ,2 ,21 ,
155000 ,2232 ,25 ,0 ,151 ,719 ,1194 ,2208 ,18 ,3 ,17 ,
160000 ,2253 ,21 ,0 ,172 ,748 ,1128 ,2286 ,87 ,7 ,29 ,
165000 ,2379 ,21 ,0 ,188 ,836 ,1122 ,2539 ,19 ,6 ,22 ,
170000 ,2784 ,22 ,0 ,208 ,1037 ,2480 ,3195 ,68 ,3 ,19 ,
175000 ,3485 ,26 ,0 ,209 ,909 ,1579 ,3421 ,18 ,4 ,24 ,
180000 ,3164 ,29 ,0 ,254 ,935 ,1378 ,3465 ,21 ,3 ,19 ,
185000 ,3424 ,30 ,0 ,265 ,1186 ,1541 ,3600 ,25 ,4 ,26 ,
190000 ,3263 ,24 ,0 ,214 ,997 ,1427 ,3237 ,17 ,3 ,20 ,
195000 ,3397 ,29 ,0 ,207 ,977 ,1372 ,3406 ,17 ,3 ,20 ,
200000 ,3525 ,30 ,0 ,223 ,1020 ,1479 ,3547 ,22 ,3 ,24 ,
500000 ,22817 ,83 ,0 ,600 ,2469 ,4348 ,24532 ,66 ,9 ,65 ,
